year,event_time,post,occ_code,occ_title,tot_emp,a_mean,h_mean,wage_bill,log_wage,log_emp,log_wbill,annual_only,suppressed_wage,soc_remapped,a_pct10,a_pct25,a_median,a_pct75,a_pct90,balanced,dv_alpha,dv_beta,dv_gamma,human_alpha,human_beta,human_gamma,n_onet,prefix5,exposure_imputed,exposure_residual
2022,0,0,11-1021,General and Operations Managers,3376680.0,122860.0,59.07,414858904800.0,11.718800774717918,15.032403536216286,26.7512043109342,0,False,0,43470,62070,98100,154560,221270,1,0.0,0.4807692307692308,0.9615384615384616,0.1153846153846153,0.3846153846153846,0.6538461538461539,1.0,11-10,0,0
2023,1,1,11-1021,General and Operations Managers,3507810.0,129330.0,62.18,453665067300.0,11.77012255640929,15.07050246909178,26.84062502550107,0,False,0,46340,65180,101280,160290,232110,1,0.0,0.4807692307692308,0.9615384615384616,0.1153846153846153,0.3846153846153846,0.6538461538461539,1.0,11-10,0,0
2024,2,1,11-1021,General and Operations Managers,3584420.0,133120.0,64.0,477157990400.0,11.799006256055035,15.09210723371104,26.891113489766077,0,False,0,47420,67160,102950,164130,#,1,0.0,0.4807692307692308,0.9615384615384616,0.1153846153846153,0.3846153846153846,0.6538461538461539,1.0,11-10,0,0
2025,3,1,11-1021,General and Operations Managers,3503020.0,134940.0,64.87,472697518800.0,11.812585514181416,15.069136011555274,26.88172152573669,0,False,0,50090,72320,105770,167280,253390,1,0.0,0.4807692307692308,0.9615384615384616,0.1153846153846153,0.3846153846153846,0.6538461538461539,1.0,11-10,0,0
2019,-3,0,11-1031,Legislators,52280.0,49440.0,,2584723200.0,10.808515092131572,10.864369167738158,21.67288425986973,1,False,0,17690,19070,29270,75520,100470,0,0.0333333333333333,0.4,0.7666666666666666,0.2666666666666666,0.5166666666666666,0.7666666666666666,1.0,11-10,0,0
2020,-2,0,11-1031,Legislators,51290.0,53560.0,,2747092400.0,10.888557799805108,10.845251080383314,21.733808880188423,1,False,0,18120,19790,33200,83780,105100,0,0.0333333333333333,0.4,0.7666666666666666,0.2666666666666666,0.5166666666666666,0.7666666666666666,1.0,11-10,0,0
2021,-1,0,11-1031,Legislators,44590.0,57110.0,,2546534900.0,10.952734511658909,10.705264897621522,21.657999409280432,1,False,0,17850,22880,37270,78510,100580,0,0.0333333333333333,0.4,0.7666666666666666,0.2666666666666666,0.5166666666666666,0.7666666666666666,1.0,11-10,0,0
2022,0,0,11-1031,Legislators,42890.0,71100.0,,3049479000.0,11.171842615791332,10.666393977510928,21.83823659330226,1,False,0,20970,28690,48090,94030,149710,0,0.0333333333333333,0.4,0.7666666666666666,0.2666666666666666,0.5166666666666666,0.7666666666666666,1.0,11-10,0,0
2023,1,1,11-1031,Legislators,32460.0,68140.0,,2211824400.0,11.129319691214958,10.387763841068582,21.51708353228354,1,False,0,21010,28810,47290,82200,129510,0,0.0333333333333333,0.4,0.7666666666666666,0.2666666666666666,0.5166666666666666,0.7666666666666666,1.0,11-10,0,0
2024,2,1,11-1031,Legislators,26510.0,67390.0,,1786508900.0,11.118251917940263,10.18527729928307,21.303529217223332,1,False,0,20380,29120,44810,80350,137820,0,0.0333333333333333,0.4,0.7666666666666666,0.2666666666666666,0.5166666666666666,0.7666666666666666,1.0,11-10,0,0
2019,-3,0,11-2011,Advertising and Promotions Managers,25100.0,141890.0,68.22,3561439000.0,11.86280738850136,10.130623125119875,21.993430513621234,0,False,0,61930,86330,125510,175940,#,1,0.0,0.4767441860465116,0.9534883720930232,0.2558139534883721,0.5465116279069767,0.8372093023255813,1.0,11-20,0,0
2020,-2,0,11-2011,Advertising and Promotions Managers,22490.0,147560.0,70.94,3318624400.0,11.901990151710612,10.02082604495336,21.922816196663973,0,False,0,68940,91910,133460,181800,#,1,0.0,0.4767441860465116,0.9534883720930232,0.2558139534883721,0.5465116279069767,0.8372093023255813,1.0,11-20,0,0
2021,-1,0,11-2011,Advertising and Promotions Managers,22520.0,142860.0,68.68,3217207200.0,11.869620408708965,10.022159082253626,21.89177949096259,0,False,0,61250,94020,127150,172210,#,1,0.0,0.4767441860465116,0.9534883720930232,0.2558139534883721,0.5465116279069767,0.8372093023255813,1.0,11-20,0,0
2022,0,0,11-2011,Advertising and Promotions Managers,22010.0,147050.0,70.7,3236570500.0,11.898527943982142,9.999252174520509,21.89778011850265,0,False,0,60380,85020,127830,172920,#,1,0.0,0.4767441860465116,0.9534883720930232,0.2558139534883721,0.5465116279069767,0.8372093023255813,1.0,11-20,0,0
2023,1,1,11-2011,Advertising and Promotions Managers,20630.0,152620.0,73.38,3148550600.0,11.935706450843623,9.934501606065297,21.87020805690892,0,False,0,63580,88810,131870,188530,#,1,0.0,0.4767441860465116,0.9534883720930232,0.2558139534883721,0.5465116279069767,0.8372093023255813,1.0,11-20,0,0
2024,2,1,11-2011,Advertising and Promotions Managers,21100.0,149270.0,71.76,3149597000.0,11.913512025627286,9.957028319464158,21.87054034509144,0,False,0,63000,85990,126960,178570,#,1,0.0,0.4767441860465116,0.9534883720930232,0.2558139534883721,0.5465116279069767,0.8372093023255813,1.0,11-20,0,0
2025,3,1,11-2011,Advertising and Promotions Managers,21470.0,154280.0,74.18,3312391600.0,11.946524412322164,9.974411890872826,21.920936303194992,0,False,0,63300,91370,133660,201050,286240,1,0.0,0.4767441860465116,0.9534883720930232,0.2558139534883721,0.5465116279069767,0.8372093023255813,1.0,11-20,0,0
2019,-3,0,11-2021,Marketing Managers,263680.0,149200.0,71.73,39341056000.0,11.913042966751798,12.482491525703244,24.39553449245504,0,False,0,71010,97710,136850,185320,#,1,0.0625,0.5,0.9375,0.21875,0.578125,0.9375,1.0,11-20,0,0
2020,-2,0,11-2021,Marketing Managers,270200.0,154470.0,74.27,41737794000.0,11.947755181708295,12.506917704508236,24.45467288621653,0,False,0,74620,101690,142170,191760,#,1,0.0625,0.5,0.9375,0.21875,0.578125,0.9375,1.0,11-20,0,0
2021,-1,0,11-2021,Marketing Managers,278690.0,153440.0,73.77,42762193600.0,11.941064890117266,12.537855331950812,24.47892022206808,0,False,0,77680,100010,135030,192520,#,1,0.0625,0.5,0.9375,0.21875,0.578125,0.9375,1.0,11-20,0,0
2022,0,0,11-2021,Marketing Managers,328570.0,158280.0,76.1,52006059600.0,11.97212089549936,12.702505184008526,24.674626079507888,0,False,0,76790,103060,140040,198530,#,1,0.0625,0.5,0.9375,0.21875,0.578125,0.9375,1.0,11-20,0,0
2023,1,1,11-2021,Marketing Managers,368940.0,166410.0,80.0,61395305400.0,12.02220990171739,12.81838930817557,24.84059920989296,0,False,0,79600,108000,157620,208000,#,1,0.0625,0.5,0.9375,0.21875,0.578125,0.9375,1.0,11-20,0,0
2024,2,1,11-2021,Marketing Managers,384980.0,171520.0,82.46,66031769600.0,12.052455156864577,12.860946663868626,24.9134018207332,0,False,0,81900,111210,161030,211080,#,1,0.0625,0.5,0.9375,0.21875,0.578125,0.9375,1.0,11-20,0,0
2025,3,1,11-2021,Marketing Managers,395240.0,177770.0,85.47,70261814800.0,12.08824585891673,12.8872484543089,24.97549431322563,0,False,0,90260,123020,166790,216410,293610,1,0.0625,0.5,0.9375,0.21875,0.578125,0.9375,1.0,11-20,0,0
2019,-3,0,11-2022,Sales Managers,402600.0,141690.0,68.12,57044394000.0,11.861396851558272,12.905698792187827,24.7670956437461,0,False,0,59810,85150,126640,177830,#,1,0.0,0.45,0.9,0.1,0.4833333333333333,0.8666666666666667,1.0,11-20,0,0
2020,-2,0,11-2022,Sales Managers,390170.0,147580.0,70.95,57581288600.0,11.902125680612356,12.87433782056604,24.776463501178394,0,False,0,63170,89720,132290,185200,#,1,0.0,0.45,0.9,0.1,0.4833333333333333,0.8666666666666667,1.0,11-20,0,0
2021,-1,0,11-2022,Sales Managers,453800.0,142390.0,68.46,64616582000.0,11.86632505077504,13.025411851327878,24.89173690210292,0,False,0,61090,84450,127490,173010,#,1,0.0,0.45,0.9,0.1,0.4833333333333333,0.8666666666666667,1.0,11-20,0,0
2022,0,0,11-2022,Sales Managers,536390.0,150530.0,72.37,80742786700.0,11.92191767885455,13.192616787412003,25.11453446626655,0,False,0,61040,87910,130600,180390,#,1,0.0,0.45,0.9,0.1,0.4833333333333333,0.8666666666666667,1.0,11-20,0,0
2023,1,1,11-2022,Sales Managers,575880.0,157610.0,75.77,90764446800.0,11.967878906169586,13.26365458464029,25.23153349080988,0,False,0,63700,93540,135160,196700,#,1,0.0,0.45,0.9,0.1,0.4833333333333333,0.8666666666666667,1.0,11-20,0,0
2024,2,1,11-2022,Sales Managers,603710.0,160930.0,77.37,97155050300.0,11.98872476681254,13.310849229166127,25.29957399597867,0,False,0,66910,95910,138060,201490,#,1,0.0,0.45,0.9,0.1,0.4833333333333333,0.8666666666666667,1.0,11-20,0,0
2025,3,1,11-2022,Sales Managers,637080.0,164350.0,79.02,104704098000.0,12.009753579092363,13.364650515365716,25.37440409445808,0,False,0,73170,100360,148270,207340,290540,1,0.0,0.45,0.9,0.1,0.4833333333333333,0.8666666666666667,1.0,11-20,0,0
2019,-3,0,11-2030,Public Relations and Fundraising Managers,79160.0,132630.0,63.77,10498990800.0,11.795318575488398,11.2792263997165,23.0745449752049,0,False,0,64790,84780,116180,161230,#,0,0.0675,0.5078488372093023,0.9481976744186046,0.21491279069767444,0.536593992248062,0.8582751937984497,5.0,,1,0
2020,-2,0,11-2030,Public Relations and Fundraising Managers,81110.0,135580.0,65.18,10996893800.0,11.817317150984955,11.30356153706439,23.12087868804935,0,False,0,66740,86440,118430,165340,#,0,0.0675,0.5078488372093023,0.9481976744186046,0.21491279069767444,0.536593992248062,0.8582751937984497,5.0,,1,0
2021,-1,0,11-2032,Public Relations Managers,59850.0,138000.0,66.35,8259300000.0,11.83500896413934,10.999596710986118,22.83460567512546,0,False,0,66000,94660,125780,164830,#,0,0.15,0.55,0.95,0.25,0.5750000000000001,0.9,1.0,11-20,0,0
2022,0,0,11-2032,Public Relations Managers,64280.0,150030.0,72.13,9643928400.0,11.918590553081058,11.071003819851448,22.98959437293251,0,False,0,71710,96280,129430,177170,#,0,0.15,0.55,0.95,0.25,0.5750000000000001,0.9,1.0,11-20,0,0
2023,1,1,11-2032,Public Relations Managers,72760.0,159420.0,76.65,11599399200.0,11.979297507981917,11.194921632632058,23.17421914061397,0,False,0,76160,99180,134760,191840,#,0,0.15,0.55,0.95,0.25,0.5750000000000001,0.9,1.0,11-20,0,0
2024,2,1,11-2032,Public Relations Managers,76060.0,163520.0,78.61,12437331200.0,12.004690585997476,11.23927778148225,23.243968367479727,0,False,0,78880,102300,138520,198000,#,0,0.15,0.55,0.95,0.25,0.5750000000000001,0.9,1.0,11-20,0,0
2025,3,1,11-2032,Public Relations Managers,74850.0,164760.0,79.21,12332286000.0,12.012245148550017,11.223241389847775,23.23548653839779,0,False,0,82410,106580,146910,204520,284990,0,0.15,0.55,0.95,0.25,0.5750000000000001,0.9,1.0,11-20,0,0
2021,-1,0,11-2033,Fundraising Managers,23190.0,119400.0,57.4,2768886000.0,11.69023447994064,10.051476430249576,21.741710910190218,0,False,0,60400,77170,100810,150920,204430,0,0.125,0.5625,1.0,0.25,0.5,0.75,1.0,11-20,0,0
2022,0,0,11-2033,Fundraising Managers,26240.0,124450.0,59.83,3265568000.0,11.731659307795738,10.175040243058024,21.90669955085376,0,False,0,63320,80330,107390,155100,205230,0,0.125,0.5625,1.0,0.25,0.5,0.75,1.0,11-20,0,0
2023,1,1,11-2033,Fundraising Managers,31810.0,133620.0,64.24,4250452200.0,11.802755229479468,10.36753598474319,22.170291214222654,0,False,0,68800,86880,119200,162660,212730,0,0.125,0.5625,1.0,0.25,0.5,0.75,1.0,11-20,0,0
2024,2,1,11-2033,Fundraising Managers,36920.0,137290.0,66.01,5068746800.0,11.82985075589165,10.516508688616788,22.34635944450844,0,False,0,73700,92880,123480,166420,216660,0,0.125,0.5625,1.0,0.25,0.5,0.75,1.0,11-20,0,0
2025,3,1,11-2033,Fundraising Managers,38810.0,140020.0,67.32,5434176200.0,11.849540548531188,10.566433224362951,22.41597377289414,0,False,0,75130,95970,125470,169990,222350,0,0.125,0.5625,1.0,0.25,0.5,0.75,1.0,11-20,0,0
2019,-3,0,11-3010,Administrative Services and Facilities Managers,307280.0,106550.0,51.23,32740684000.0,11.576369637526764,12.635514663019787,24.21188430054655,0,False,0,55210,72220,96940,128230,166330,0,0.08015094324825658,0.46925484395769707,0.8583587446671377,0.18049717610635385,0.4561372562718794,0.7317773364374048,7.0,,1,0
2020,-2,0,11-3010,Administrative Services and Facilities Managers,307620.0,108120.0,51.98,33259874400.0,11.590997000390384,12.636620534005802,24.227617534396185,0,False,0,56080,73650,98890,130930,169930,0,0.08015094324825658,0.46925484395769707,0.8583587446671377,0.18049717610635385,0.4561372562718794,0.7317773364374048,7.0,,1,0
2021,-1,0,11-3012,Administrative Services Managers,224620.0,113030.0,54.34,25388798600.0,11.635408549184778,12.322165364517026,23.957573913701804,0,False,0,59470,77070,100170,131130,168910,0,0.0869565217391304,0.3913043478260869,0.6956521739130435,0.2608695652173913,0.5,0.7391304347826086,1.0,11-30,0,0
2022,0,0,11-3012,Administrative Services Managers,236570.0,115640.0,55.59,27356954800.0,11.658237196130282,12.373999426206453,24.032236622336736,0,False,0,59070,78490,103330,135200,178870,0,0.0869565217391304,0.3913043478260869,0.6956521739130435,0.2608695652173913,0.5,0.7391304347826086,1.0,11-30,0,0
2023,1,1,11-3012,Administrative Services Managers,242520.0,121200.0,58.27,29393424000.0,11.70519735261735,12.398839460185666,24.104036812803017,0,False,0,62470,81420,106470,140870,188820,0,0.0869565217391304,0.3913043478260869,0.6956521739130435,0.2608695652173913,0.5,0.7391304347826086,1.0,11-30,0,0
2024,2,1,11-3012,Administrative Services Managers,254140.0,126030.0,60.59,32029264200.0,11.744275252831535,12.445640575258526,24.18991582809006,0,False,0,64740,83660,108390,147150,200010,0,0.0869565217391304,0.3913043478260869,0.6956521739130435,0.2608695652173913,0.5,0.7391304347826086,1.0,11-30,0,0
2025,3,1,11-3012,Administrative Services Managers,263960.0,129870.0,62.44,34280485200.0,11.774289229104136,12.483552855497358,24.25784208460149,0,False,0,67100,86460,114130,157420,207720,0,0.0869565217391304,0.3913043478260869,0.6956521739130435,0.2608695652173913,0.5,0.7391304347826086,1.0,11-30,0,0
2021,-1,0,11-3013,Facilities Managers,101230.0,101970.0,49.03,10322423100.0,11.532433931358272,11.525150434592796,23.05758436595107,0,False,0,59010,74700,97930,125940,161140,0,0.0357142857142857,0.40016233766233766,0.7646103896103895,0.17045454545454544,0.4042207792207792,0.637987012987013,2.0,11-30,0,0
2022,0,0,11-3013,Facilities Managers,116980.0,105970.0,50.95,12396370600.0,11.570911314168882,11.669758258997016,23.2406695731659,0,False,0,59280,75190,99030,128590,164080,0,0.0357142857142857,0.40016233766233766,0.7646103896103895,0.17045454545454544,0.4042207792207792,0.637987012987013,2.0,11-30,0,0
2023,1,1,11-3013,Facilities Managers,131400.0,111110.0,53.42,14599854000.0,11.618275980578057,11.786001385032646,23.404277365610703,0,False,0,60840,78130,102340,133990,169020,0,0.0357142857142857,0.40016233766233766,0.7646103896103895,0.17045454545454544,0.4042207792207792,0.637987012987013,2.0,11-30,0,0
2024,2,1,11-3013,Facilities Managers,141090.0,114520.0,55.06,16157626800.0,11.64850475921205,11.857153263607204,23.50565802281925,0,False,0,62550,80150,104690,135650,173080,0,0.0357142857142857,0.40016233766233766,0.7646103896103895,0.17045454545454544,0.4042207792207792,0.637987012987013,2.0,11-30,0,0
2025,3,1,11-3013,Facilities Managers,156180.0,116890.0,56.2,18255880200.0,11.668988600601816,11.958764467216666,23.62775306781848,0,False,0,64480,82020,106660,138870,176120,0,0.0357142857142857,0.40016233766233766,0.7646103896103895,0.17045454545454544,0.4042207792207792,0.637987012987013,2.0,11-30,0,0
2019,-3,0,11-3021,Computer and Information Systems Managers,433960.0,156390.0,75.19,67867004400.0,11.960108166430262,12.980707642936387,24.940815809366647,0,False,0,87480,113110,146360,185610,#,1,0.1212121212121212,0.5303030303030303,0.9393939393939394,0.303030303030303,0.5606060606060607,0.8181818181818182,1.0,11-30,0,0
2020,-2,0,11-3021,Computer and Information Systems Managers,457290.0,161730.0,77.76,73957511700.0,11.993683557113824,13.033073041923997,25.02675659903782,0,False,0,90430,116990,151150,191470,#,1,0.1212121212121212,0.5303030303030303,0.9393939393939394,0.303030303030303,0.5606060606060607,0.8181818181818182,1.0,11-30,0,0
2021,-1,0,11-3021,Computer and Information Systems Managers,485190.0,162930.0,78.33,79052006700.0,12.001075939697,13.092295845781932,25.093371785478933,0,False,0,95220,122820,159010,198750,#,1,0.1212121212121212,0.5303030303030303,0.9393939393939394,0.303030303030303,0.5606060606060607,0.8181818181818182,1.0,11-30,0,0
2022,0,0,11-3021,Computer and Information Systems Managers,533220.0,173670.0,83.49,92604317400.0,12.06491222574116,13.186689375960576,25.251601601701736,0,False,0,97430,127180,164070,207850,#,1,0.1212121212121212,0.5303030303030303,0.9393939393939394,0.303030303030303,0.5606060606060607,0.8181818181818182,1.0,11-30,0,0
2023,1,1,11-3021,Computer and Information Systems Managers,592600.0,180720.0,86.88,107094672000.0,12.104704151141885,13.292274914121602,25.396979065263487,0,False,0,101590,131770,169510,214050,#,1,0.1212121212121212,0.5303030303030303,0.9393939393939394,0.303030303030303,0.5606060606060607,0.8181818181818182,1.0,11-30,0,0
2024,2,1,11-3021,Computer and Information Systems Managers,645970.0,187990.0,90.38,121435900300.0,12.144144048908007,13.378508342057904,25.52265239096591,0,False,0,104450,134350,171200,216220,#,1,0.1212121212121212,0.5303030303030303,0.9393939393939394,0.303030303030303,0.5606060606060607,0.8181818181818182,1.0,11-30,0,0
2025,3,1,11-3021,Computer and Information Systems Managers,670570.0,192160.0,92.39,128856731200.0,12.166083637313813,13.415883375956316,25.581967013270127,0,False,0,107550,138060,175140,220730,297510,1,0.1212121212121212,0.5303030303030303,0.9393939393939394,0.303030303030303,0.5606060606060607,0.8181818181818182,1.0,11-30,0,0
2019,-3,0,11-3031,Financial Managers,654790.0,147530.0,70.93,96601168700.0,11.901786823911612,13.392069852523772,25.293856676435382,0,False,0,68370,92310,129890,181980,#,1,0.0,0.4850552306692657,0.9701104613385315,0.1221201151025712,0.4541306971131532,0.7861412791237351,3.0,11-30,0,0
2020,-2,0,11-3031,Financial Managers,653080.0,151510.0,72.84,98948150800.0,11.928406908353882,13.3894549122401,25.317861820593983,0,False,0,70830,95770,134180,186030,#,1,0.0,0.4850552306692657,0.9701104613385315,0.1221201151025712,0.4541306971131532,0.7861412791237351,3.0,11-30,0,0
2021,-1,0,11-3031,Financial Managers,681070.0,153460.0,73.78,104517002200.0,11.941195225731656,13.431420369863805,25.37261559559546,0,False,0,77040,99620,131710,191860,#,1,0.0,0.4850552306692657,0.9701104613385315,0.1221201151025712,0.4541306971131532,0.7861412791237351,3.0,11-30,0,0
2022,0,0,11-3031,Financial Managers,740780.0,166050.0,79.83,123006519000.0,12.020044226804892,13.515458964109486,25.53550319091438,0,False,0,79050,104150,139790,203720,#,1,0.0,0.4850552306692657,0.9701104613385315,0.1221201151025712,0.4541306971131532,0.7861412791237351,3.0,11-30,0,0
2023,1,1,11-3031,Financial Managers,787340.0,174820.0,84.05,137642778800.0,12.07151215213448,13.576415454435995,25.647927606570477,0,False,0,82870,110190,156100,210830,#,1,0.0,0.4850552306692657,0.9701104613385315,0.1221201151025712,0.4541306971131532,0.7861412791237351,3.0,11-30,0,0
2024,2,1,11-3031,Financial Managers,818620.0,180470.0,86.76,147736351400.0,12.103319837955343,13.615375274698984,25.718695112654327,0,False,0,86490,118360,161700,214210,#,1,0.0,0.4850552306692657,0.9701104613385315,0.1221201151025712,0.4541306971131532,0.7861412791237351,3.0,11-30,0,0
2025,3,1,11-3031,Financial Managers,841710.0,186910.0,89.86,157324016100.0,12.138382496560224,13.643190815846689,25.781573312406916,0,False,0,94310,125490,166570,219980,323270,1,0.0,0.4850552306692657,0.9701104613385315,0.1221201151025712,0.4541306971131532,0.7861412791237351,3.0,11-30,0,0
2019,-3,0,11-3051,Industrial Production Managers,185790.0,115110.0,55.34,21386286900.0,11.653643471909108,12.132372282600215,23.786015754509325,0,False,0,65050,82400,105480,136880,176070,1,0.07074510264368754,0.40571870150289957,0.7406923003621116,0.13070700264096488,0.3296039063138119,0.5285008099866589,6.0,11-30,0,0
2020,-2,0,11-3051,Industrial Production Managers,179570.0,118190.0,56.82,21223378300.0,11.680048778006286,12.098320383035944,23.778369161042228,0,False,0,67100,84990,108790,141290,181220,1,0.07074510264368754,0.40571870150289957,0.7406923003621116,0.13070700264096488,0.3296039063138119,0.5285008099866589,6.0,11-30,0,0
2021,-1,0,11-3051,Industrial Production Managers,192270.0,117780.0,56.62,22645560600.0,11.67657375649856,12.166655913166382,23.843229669664943,0,False,0,64150,80190,103150,134130,170470,1,0.07074510264368754,0.40571870150289957,0.7406923003621116,0.13070700264096488,0.3296039063138119,0.5285008099866589,6.0,11-30,0,0
2022,0,0,11-3051,Industrial Production Managers,211710.0,120900.0,58.13,25595739000.0,11.702719036602884,12.262972692662986,23.96569172926587,0,False,0,67720,85350,107560,139430,178470,1,0.07074510264368754,0.40571870150289957,0.7406923003621116,0.13070700264096488,0.3296039063138119,0.5285008099866589,6.0,11-30,0,0
2023,1,1,11-3051,Industrial Production Managers,222890.0,125900.0,60.53,28061851000.0,11.743243220032438,12.314433655200238,24.05767687523268,0,False,0,72010,91590,116970,151220,190480,1,0.07074510264368754,0.40571870150289957,0.7406923003621116,0.13070700264096488,0.3296039063138119,0.5285008099866589,6.0,11-30,0,0
2024,2,1,11-3051,Industrial Production Managers,234380.0,129180.0,62.11,30277208400.0,11.768962059586464,12.364699008812591,24.133661068399057,0,False,0,74900,94620,121440,156330,197310,1,0.07074510264368754,0.40571870150289957,0.7406923003621116,0.13070700264096488,0.3296039063138119,0.5285008099866589,6.0,11-30,0,0
2025,3,1,11-3051,Industrial Production Managers,246250.0,134170.0,64.5,33039362500.0,11.806862931584517,12.414102559034337,24.22096549061885,0,False,0,78000,98160,126060,161880,205520,1,0.07074510264368754,0.40571870150289957,0.7406923003621116,0.13070700264096488,0.3296039063138119,0.5285008099866589,6.0,11-30,0,0
2019,-3,0,11-3061,Purchasing Managers,72100.0,128400.0,61.73,9257640000.0,11.762905670237998,11.18580932327304,22.94871499351104,0,False,0,71450,92560,121110,152890,193400,1,0.2285714285714285,0.5857142857142857,0.9428571428571428,0.1142857142857142,0.4714285714285714,0.8285714285714285,1.0,11-30,0,0
2020,-2,0,11-3061,Purchasing Managers,70960.0,132660.0,63.78,9413553600.0,11.795544743079548,11.16987161698346,22.965416360063006,0,False,0,74570,96400,125940,158160,197630,1,0.2285714285714285,0.5857142857142857,0.9428571428571428,0.1142857142857142,0.4714285714285714,0.8285714285714285,1.0,11-30,0,0
2021,-1,0,11-3061,Purchasing Managers,69310.0,134590.0,64.71,9328432900.0,11.80998839922776,11.14634447491203,22.956332874139797,0,False,0,77310,98720,127150,162630,206540,1,0.2285714285714285,0.5857142857142857,0.9428571428571428,0.1142857142857142,0.4714285714285714,0.8285714285714285,1.0,11-30,0,0
2022,0,0,11-3061,Purchasing Managers,75070.0,140650.0,67.62,10558595500.0,11.854029813918002,11.226176290567048,23.08020610448505,0,False,0,80000,101790,131350,166980,210000,1,0.2285714285714285,0.5857142857142857,0.9428571428571428,0.1142857142857142,0.4714285714285714,0.8285714285714285,1.0,11-30,0,0
2023,1,1,11-3061,Purchasing Managers,77530.0,146710.0,70.53,11374426300.0,11.89621312813369,11.258420237213004,23.15463336534669,0,False,0,83510,105300,136380,172110,215170,1,0.2285714285714285,0.5857142857142857,0.9428571428571428,0.1142857142857142,0.4714285714285714,0.8285714285714285,1.0,11-30,0,0
2024,2,1,11-3061,Purchasing Managers,81240.0,150630.0,72.42,12237181200.0,11.92258177769686,11.30516301569432,23.22774479339118,0,False,0,85500,107430,139510,175460,219140,1,0.2285714285714285,0.5857142857142857,0.9428571428571428,0.1142857142857142,0.4714285714285714,0.8285714285714285,1.0,11-30,0,0
2025,3,1,11-3061,Purchasing Managers,84320.0,156360.0,75.17,13184275200.0,11.959916319906892,11.342374363775187,23.30229068368208,0,False,0,92490,115550,148080,182270,223280,1,0.2285714285714285,0.5857142857142857,0.9428571428571428,0.1142857142857142,0.4714285714285714,0.8285714285714285,1.0,11-30,0,0
