year,event_time,post,occ_code,occ_title,tot_emp,a_mean,h_mean,wage_bill,log_wage,log_emp,log_wbill,annual_only,suppressed_wage,soc_remapped,balanced,dv_alpha,dv_beta,dv_gamma,human_alpha,human_beta,human_gamma,n_onet,prefix5,exposure_imputed,exposure_residual
2019,-3,0,11-2011,Advertising and Promotions Managers,25100.0,141890.0,68.22,3561439000.0,11.86280738850136,10.130623125119875,21.99343051362123,0,False,0,1,0.0,0.4767441860465116,0.9534883720930232,0.2558139534883721,0.5465116279069767,0.8372093023255813,1.0,11-20,0,0
2020,-2,0,11-2011,Advertising and Promotions Managers,22490.0,147560.0,70.94,3318624400.0,11.901990151710612,10.02082604495336,21.922816196663973,0,False,0,1,0.0,0.4767441860465116,0.9534883720930232,0.2558139534883721,0.5465116279069767,0.8372093023255813,1.0,11-20,0,0
2021,-1,0,11-2011,Advertising and Promotions Managers,22520.0,142860.0,68.68,3217207200.0,11.869620408708965,10.022159082253626,21.89177949096259,0,False,0,1,0.0,0.4767441860465116,0.9534883720930232,0.2558139534883721,0.5465116279069767,0.8372093023255813,1.0,11-20,0,0
2022,0,0,11-2011,Advertising and Promotions Managers,22010.0,147050.0,70.7,3236570500.0,11.898527943982142,9.999252174520509,21.89778011850265,0,False,0,1,0.0,0.4767441860465116,0.9534883720930232,0.2558139534883721,0.5465116279069767,0.8372093023255813,1.0,11-20,0,0
2023,1,1,11-2011,Advertising and Promotions Managers,20630.0,152620.0,73.38,3148550600.0,11.935706450843623,9.934501606065297,21.87020805690892,0,False,0,1,0.0,0.4767441860465116,0.9534883720930232,0.2558139534883721,0.5465116279069767,0.8372093023255813,1.0,11-20,0,0
2024,2,1,11-2011,Advertising and Promotions Managers,21100.0,149270.0,71.76,3149597000.0,11.913512025627286,9.957028319464158,21.87054034509144,0,False,0,1,0.0,0.4767441860465116,0.9534883720930232,0.2558139534883721,0.5465116279069767,0.8372093023255813,1.0,11-20,0,0
2019,-3,0,11-2021,Marketing Managers,263680.0,149200.0,71.73,39341056000.0,11.913042966751798,12.482491525703244,24.39553449245504,0,False,0,1,0.0625,0.5,0.9375,0.21875,0.578125,0.9375,1.0,11-20,0,0
2020,-2,0,11-2021,Marketing Managers,270200.0,154470.0,74.27,41737794000.0,11.947755181708295,12.506917704508236,24.45467288621653,0,False,0,1,0.0625,0.5,0.9375,0.21875,0.578125,0.9375,1.0,11-20,0,0
2021,-1,0,11-2021,Marketing Managers,278690.0,153440.0,73.77,42762193600.0,11.941064890117266,12.537855331950812,24.478920222068076,0,False,0,1,0.0625,0.5,0.9375,0.21875,0.578125,0.9375,1.0,11-20,0,0
2022,0,0,11-2021,Marketing Managers,328570.0,158280.0,76.1,52006059600.0,11.97212089549936,12.702505184008526,24.674626079507888,0,False,0,1,0.0625,0.5,0.9375,0.21875,0.578125,0.9375,1.0,11-20,0,0
2023,1,1,11-2021,Marketing Managers,368940.0,166410.0,80.0,61395305400.0,12.02220990171739,12.81838930817557,24.84059920989296,0,False,0,1,0.0625,0.5,0.9375,0.21875,0.578125,0.9375,1.0,11-20,0,0
2024,2,1,11-2021,Marketing Managers,384980.0,171520.0,82.46,66031769600.0,12.052455156864577,12.860946663868626,24.9134018207332,0,False,0,1,0.0625,0.5,0.9375,0.21875,0.578125,0.9375,1.0,11-20,0,0
2019,-3,0,11-2022,Sales Managers,402600.0,141690.0,68.12,57044394000.0,11.861396851558272,12.905698792187827,24.7670956437461,0,False,0,1,0.0,0.45,0.9,0.1,0.4833333333333333,0.8666666666666667,1.0,11-20,0,0
2020,-2,0,11-2022,Sales Managers,390170.0,147580.0,70.95,57581288600.0,11.902125680612356,12.87433782056604,24.77646350117839,0,False,0,1,0.0,0.45,0.9,0.1,0.4833333333333333,0.8666666666666667,1.0,11-20,0,0
2021,-1,0,11-2022,Sales Managers,453800.0,142390.0,68.46,64616582000.0,11.86632505077504,13.025411851327878,24.89173690210292,0,False,0,1,0.0,0.45,0.9,0.1,0.4833333333333333,0.8666666666666667,1.0,11-20,0,0
2022,0,0,11-2022,Sales Managers,536390.0,150530.0,72.37,80742786700.0,11.92191767885455,13.192616787412003,25.11453446626655,0,False,0,1,0.0,0.45,0.9,0.1,0.4833333333333333,0.8666666666666667,1.0,11-20,0,0
2023,1,1,11-2022,Sales Managers,575880.0,157610.0,75.77,90764446800.0,11.967878906169586,13.26365458464029,25.231533490809877,0,False,0,1,0.0,0.45,0.9,0.1,0.4833333333333333,0.8666666666666667,1.0,11-20,0,0
2024,2,1,11-2022,Sales Managers,603710.0,160930.0,77.37,97155050300.0,11.98872476681254,13.310849229166127,25.29957399597867,0,False,0,1,0.0,0.45,0.9,0.1,0.4833333333333333,0.8666666666666667,1.0,11-20,0,0
2019,-3,0,11-2030,Public Relations and Fundraising Managers,79160.0,132630.0,63.77,10498990800.0,11.795318575488398,11.2792263997165,23.0745449752049,0,False,0,0,0.0675,0.5078488372093023,0.9481976744186046,0.21491279069767444,0.536593992248062,0.8582751937984497,5.0,,1,0
2020,-2,0,11-2030,Public Relations and Fundraising Managers,81110.0,135580.0,65.18,10996893800.0,11.817317150984955,11.30356153706439,23.12087868804935,0,False,0,0,0.0675,0.5078488372093023,0.9481976744186046,0.21491279069767444,0.536593992248062,0.8582751937984497,5.0,,1,0
2021,-1,0,11-2032,Public Relations Managers,59850.0,138000.0,66.35,8259300000.0,11.83500896413934,10.999596710986118,22.83460567512546,0,False,0,0,0.15,0.55,0.95,0.25,0.5750000000000001,0.9,1.0,11-20,0,0
2022,0,0,11-2032,Public Relations Managers,64280.0,150030.0,72.13,9643928400.0,11.918590553081058,11.071003819851448,22.98959437293251,0,False,0,0,0.15,0.55,0.95,0.25,0.5750000000000001,0.9,1.0,11-20,0,0
2023,1,1,11-2032,Public Relations Managers,72760.0,159420.0,76.65,11599399200.0,11.979297507981917,11.194921632632058,23.17421914061397,0,False,0,0,0.15,0.55,0.95,0.25,0.5750000000000001,0.9,1.0,11-20,0,0
2024,2,1,11-2032,Public Relations Managers,76060.0,163520.0,78.61,12437331200.0,12.004690585997476,11.23927778148225,23.243968367479727,0,False,0,0,0.15,0.55,0.95,0.25,0.5750000000000001,0.9,1.0,11-20,0,0
2021,-1,0,11-2033,Fundraising Managers,23190.0,119400.0,57.4,2768886000.0,11.69023447994064,10.051476430249576,21.741710910190218,0,False,0,0,0.125,0.5625,1.0,0.25,0.5,0.75,1.0,11-20,0,0
2022,0,0,11-2033,Fundraising Managers,26240.0,124450.0,59.83,3265568000.0,11.731659307795738,10.175040243058024,21.90669955085376,0,False,0,0,0.125,0.5625,1.0,0.25,0.5,0.75,1.0,11-20,0,0
2023,1,1,11-2033,Fundraising Managers,31810.0,133620.0,64.24,4250452200.0,11.802755229479468,10.36753598474319,22.170291214222654,0,False,0,0,0.125,0.5625,1.0,0.25,0.5,0.75,1.0,11-20,0,0
2024,2,1,11-2033,Fundraising Managers,36920.0,137290.0,66.01,5068746800.0,11.82985075589165,10.516508688616788,22.34635944450844,0,False,0,0,0.125,0.5625,1.0,0.25,0.5,0.75,1.0,11-20,0,0
2019,-3,0,11-3010,Administrative Services and Facilities Managers,307280.0,106550.0,51.23,32740684000.0,11.576369637526764,12.635514663019787,24.21188430054655,0,False,0,0,0.08015094324825658,0.46925484395769707,0.8583587446671377,0.18049717610635385,0.4561372562718794,0.7317773364374048,7.0,,1,0
2020,-2,0,11-3010,Administrative Services and Facilities Managers,307620.0,108120.0,51.98,33259874400.0,11.590997000390384,12.636620534005802,24.227617534396185,0,False,0,0,0.08015094324825658,0.46925484395769707,0.8583587446671377,0.18049717610635385,0.4561372562718794,0.7317773364374048,7.0,,1,0
2021,-1,0,11-3012,Administrative Services Managers,224620.0,113030.0,54.34,25388798600.0,11.635408549184778,12.322165364517026,23.957573913701804,0,False,0,0,0.0869565217391304,0.3913043478260869,0.6956521739130435,0.2608695652173913,0.5,0.7391304347826086,1.0,11-30,0,0
2022,0,0,11-3012,Administrative Services Managers,236570.0,115640.0,55.59,27356954800.0,11.658237196130282,12.373999426206453,24.032236622336736,0,False,0,0,0.0869565217391304,0.3913043478260869,0.6956521739130435,0.2608695652173913,0.5,0.7391304347826086,1.0,11-30,0,0
2023,1,1,11-3012,Administrative Services Managers,242520.0,121200.0,58.27,29393424000.0,11.70519735261735,12.398839460185666,24.104036812803017,0,False,0,0,0.0869565217391304,0.3913043478260869,0.6956521739130435,0.2608695652173913,0.5,0.7391304347826086,1.0,11-30,0,0
2024,2,1,11-3012,Administrative Services Managers,254140.0,126030.0,60.59,32029264200.0,11.744275252831535,12.445640575258526,24.18991582809006,0,False,0,0,0.0869565217391304,0.3913043478260869,0.6956521739130435,0.2608695652173913,0.5,0.7391304347826086,1.0,11-30,0,0
2021,-1,0,11-3013,Facilities Managers,101230.0,101970.0,49.03,10322423100.0,11.532433931358272,11.525150434592796,23.05758436595107,0,False,0,0,0.0357142857142857,0.40016233766233766,0.7646103896103895,0.17045454545454544,0.4042207792207792,0.637987012987013,2.0,11-30,0,0
2022,0,0,11-3013,Facilities Managers,116980.0,105970.0,50.95,12396370600.0,11.570911314168882,11.669758258997016,23.2406695731659,0,False,0,0,0.0357142857142857,0.40016233766233766,0.7646103896103895,0.17045454545454544,0.4042207792207792,0.637987012987013,2.0,11-30,0,0
2023,1,1,11-3013,Facilities Managers,131400.0,111110.0,53.42,14599854000.0,11.618275980578057,11.786001385032646,23.404277365610703,0,False,0,0,0.0357142857142857,0.40016233766233766,0.7646103896103895,0.17045454545454544,0.4042207792207792,0.637987012987013,2.0,11-30,0,0
2024,2,1,11-3013,Facilities Managers,141090.0,114520.0,55.06,16157626800.0,11.64850475921205,11.857153263607204,23.505658022819254,0,False,0,0,0.0357142857142857,0.40016233766233766,0.7646103896103895,0.17045454545454544,0.4042207792207792,0.637987012987013,2.0,11-30,0,0
2019,-3,0,11-3021,Computer and Information Systems Managers,433960.0,156390.0,75.19,67867004400.0,11.960108166430262,12.980707642936387,24.940815809366647,0,False,0,1,0.1212121212121212,0.5303030303030303,0.9393939393939394,0.303030303030303,0.5606060606060607,0.8181818181818182,1.0,11-30,0,0
2020,-2,0,11-3021,Computer and Information Systems Managers,457290.0,161730.0,77.76,73957511700.0,11.993683557113824,13.033073041923997,25.02675659903782,0,False,0,1,0.1212121212121212,0.5303030303030303,0.9393939393939394,0.303030303030303,0.5606060606060607,0.8181818181818182,1.0,11-30,0,0
2021,-1,0,11-3021,Computer and Information Systems Managers,485190.0,162930.0,78.33,79052006700.0,12.001075939697,13.092295845781932,25.093371785478933,0,False,0,1,0.1212121212121212,0.5303030303030303,0.9393939393939394,0.303030303030303,0.5606060606060607,0.8181818181818182,1.0,11-30,0,0
2022,0,0,11-3021,Computer and Information Systems Managers,533220.0,173670.0,83.49,92604317400.0,12.06491222574116,13.186689375960576,25.251601601701736,0,False,0,1,0.1212121212121212,0.5303030303030303,0.9393939393939394,0.303030303030303,0.5606060606060607,0.8181818181818182,1.0,11-30,0,0
2023,1,1,11-3021,Computer and Information Systems Managers,592600.0,180720.0,86.88,107094672000.0,12.104704151141885,13.292274914121602,25.396979065263487,0,False,0,1,0.1212121212121212,0.5303030303030303,0.9393939393939394,0.303030303030303,0.5606060606060607,0.8181818181818182,1.0,11-30,0,0
2024,2,1,11-3021,Computer and Information Systems Managers,645970.0,187990.0,90.38,121435900300.0,12.144144048908007,13.378508342057904,25.52265239096591,0,False,0,1,0.1212121212121212,0.5303030303030303,0.9393939393939394,0.303030303030303,0.5606060606060607,0.8181818181818182,1.0,11-30,0,0
2019,-3,0,11-3031,Financial Managers,654790.0,147530.0,70.93,96601168700.0,11.901786823911612,13.392069852523772,25.293856676435382,0,False,0,1,0.0,0.4850552306692657,0.9701104613385315,0.1221201151025712,0.4541306971131532,0.7861412791237351,3.0,11-30,0,0
2020,-2,0,11-3031,Financial Managers,653080.0,151510.0,72.84,98948150800.0,11.928406908353882,13.3894549122401,25.317861820593983,0,False,0,1,0.0,0.4850552306692657,0.9701104613385315,0.1221201151025712,0.4541306971131532,0.7861412791237351,3.0,11-30,0,0
2021,-1,0,11-3031,Financial Managers,681070.0,153460.0,73.78,104517002200.0,11.941195225731656,13.431420369863805,25.37261559559546,0,False,0,1,0.0,0.4850552306692657,0.9701104613385315,0.1221201151025712,0.4541306971131532,0.7861412791237351,3.0,11-30,0,0
2022,0,0,11-3031,Financial Managers,740780.0,166050.0,79.83,123006519000.0,12.020044226804892,13.515458964109486,25.53550319091438,0,False,0,1,0.0,0.4850552306692657,0.9701104613385315,0.1221201151025712,0.4541306971131532,0.7861412791237351,3.0,11-30,0,0
2023,1,1,11-3031,Financial Managers,787340.0,174820.0,84.05,137642778800.0,12.07151215213448,13.576415454435995,25.647927606570473,0,False,0,1,0.0,0.4850552306692657,0.9701104613385315,0.1221201151025712,0.4541306971131532,0.7861412791237351,3.0,11-30,0,0
2024,2,1,11-3031,Financial Managers,818620.0,180470.0,86.76,147736351400.0,12.103319837955343,13.615375274698984,25.718695112654327,0,False,0,1,0.0,0.4850552306692657,0.9701104613385315,0.1221201151025712,0.4541306971131532,0.7861412791237351,3.0,11-30,0,0
2019,-3,0,11-3051,Industrial Production Managers,185790.0,115110.0,55.34,21386286900.0,11.653643471909108,12.132372282600215,23.786015754509325,0,False,0,1,0.07074510264368754,0.40571870150289957,0.7406923003621116,0.13070700264096488,0.3296039063138119,0.5285008099866589,6.0,11-30,0,0
2020,-2,0,11-3051,Industrial Production Managers,179570.0,118190.0,56.82,21223378300.0,11.680048778006286,12.098320383035944,23.778369161042228,0,False,0,1,0.07074510264368754,0.40571870150289957,0.7406923003621116,0.13070700264096488,0.3296039063138119,0.5285008099866589,6.0,11-30,0,0
2021,-1,0,11-3051,Industrial Production Managers,192270.0,117780.0,56.62,22645560600.0,11.67657375649856,12.166655913166382,23.843229669664943,0,False,0,1,0.07074510264368754,0.40571870150289957,0.7406923003621116,0.13070700264096488,0.3296039063138119,0.5285008099866589,6.0,11-30,0,0
2022,0,0,11-3051,Industrial Production Managers,211710.0,120900.0,58.13,25595739000.0,11.702719036602884,12.262972692662986,23.96569172926587,0,False,0,1,0.07074510264368754,0.40571870150289957,0.7406923003621116,0.13070700264096488,0.3296039063138119,0.5285008099866589,6.0,11-30,0,0
2023,1,1,11-3051,Industrial Production Managers,222890.0,125900.0,60.53,28061851000.0,11.743243220032438,12.314433655200238,24.057676875232676,0,False,0,1,0.07074510264368754,0.40571870150289957,0.7406923003621116,0.13070700264096488,0.3296039063138119,0.5285008099866589,6.0,11-30,0,0
2024,2,1,11-3051,Industrial Production Managers,234380.0,129180.0,62.11,30277208400.0,11.768962059586464,12.364699008812591,24.133661068399057,0,False,0,1,0.07074510264368754,0.40571870150289957,0.7406923003621116,0.13070700264096488,0.3296039063138119,0.5285008099866589,6.0,11-30,0,0
2019,-3,0,11-3061,Purchasing Managers,72100.0,128400.0,61.73,9257640000.0,11.762905670237998,11.18580932327304,22.94871499351104,0,False,0,1,0.2285714285714285,0.5857142857142857,0.9428571428571428,0.1142857142857142,0.4714285714285714,0.8285714285714285,1.0,11-30,0,0
2020,-2,0,11-3061,Purchasing Managers,70960.0,132660.0,63.78,9413553600.0,11.795544743079548,11.16987161698346,22.965416360063006,0,False,0,1,0.2285714285714285,0.5857142857142857,0.9428571428571428,0.1142857142857142,0.4714285714285714,0.8285714285714285,1.0,11-30,0,0
2021,-1,0,11-3061,Purchasing Managers,69310.0,134590.0,64.71,9328432900.0,11.80998839922776,11.14634447491203,22.956332874139793,0,False,0,1,0.2285714285714285,0.5857142857142857,0.9428571428571428,0.1142857142857142,0.4714285714285714,0.8285714285714285,1.0,11-30,0,0
2022,0,0,11-3061,Purchasing Managers,75070.0,140650.0,67.62,10558595500.0,11.854029813918002,11.226176290567048,23.08020610448505,0,False,0,1,0.2285714285714285,0.5857142857142857,0.9428571428571428,0.1142857142857142,0.4714285714285714,0.8285714285714285,1.0,11-30,0,0
2023,1,1,11-3061,Purchasing Managers,77530.0,146710.0,70.53,11374426300.0,11.89621312813369,11.258420237213004,23.154633365346697,0,False,0,1,0.2285714285714285,0.5857142857142857,0.9428571428571428,0.1142857142857142,0.4714285714285714,0.8285714285714285,1.0,11-30,0,0
2024,2,1,11-3061,Purchasing Managers,81240.0,150630.0,72.42,12237181200.0,11.92258177769686,11.30516301569432,23.22774479339118,0,False,0,1,0.2285714285714285,0.5857142857142857,0.9428571428571428,0.1142857142857142,0.4714285714285714,0.8285714285714285,1.0,11-30,0,0
2019,-3,0,11-3071,"Transportation, Storage, and Distribution Managers",132040.0,103320.0,49.67,13642372800.0,11.545586247209776,11.79086018596713,23.336446433176903,0,False,0,1,0.01785714285714285,0.486525974025974,0.9551948051948052,0.16201298701298694,0.47297077922077924,0.7839285714285713,2.0,11-30,0,0
2020,-2,0,11-3071,"Transportation, Storage, and Distribution Managers",132210.0,105100.0,50.53,13895271000.0,11.562667556865042,11.792146846504142,23.354814403369183,0,False,0,1,0.01785714285714285,0.486525974025974,0.9551948051948052,0.16201298701298694,0.47297077922077924,0.7839285714285713,2.0,11-30,0,0
2021,-1,0,11-3071,"Transportation, Storage, and Distribution Managers",144640.0,105580.0,50.76,15271091200.0,11.567224238377609,11.882003175626004,23.449227414003612,0,False,0,1,0.01785714285714285,0.486525974025974,0.9551948051948052,0.16201298701298694,0.47297077922077924,0.7839285714285713,2.0,11-30,0,0
2022,0,0,11-3071,"Transportation, Storage, and Distribution Managers",169910.0,108910.0,52.36,18504898100.0,11.598277132069732,12.043024164079805,23.641301296149535,0,False,0,1,0.01785714285714285,0.486525974025974,0.9551948051948052,0.16201298701298694,0.47297077922077924,0.7839285714285713,2.0,11-30,0,0
2023,1,1,11-3071,"Transportation, Storage, and Distribution Managers",198780.0,111870.0,53.79,22237518600.0,11.625092761840977,12.199953964521995,23.825046726362977,0,False,0,1,0.01785714285714285,0.486525974025974,0.9551948051948052,0.16201298701298694,0.47297077922077924,0.7839285714285713,2.0,11-30,0,0
2024,2,1,11-3071,"Transportation, Storage, and Distribution Managers",213000.0,116010.0,55.77,24710130000.0,11.661431673269451,12.269047444691562,23.930479117961013,0,False,0,1,0.01785714285714285,0.486525974025974,0.9551948051948052,0.16201298701298694,0.47297077922077924,0.7839285714285713,2.0,11-30,0,0
2019,-3,0,11-3111,Compensation and Benefits Managers,16900.0,134210.0,64.52,2268149000.0,11.807161016391852,9.735068900911164,21.542229917303015,0,False,0,1,0.131578947368421,0.513157894736842,0.894736842105263,0.1842105263157894,0.4605263157894737,0.7368421052631579,1.0,11-31,0,0
2020,-2,0,11-3111,Compensation and Benefits Managers,16340.0,137160.0,65.94,2241194400.0,11.828903406576856,9.701371368413994,21.53027477499085,0,False,0,1,0.131578947368421,0.513157894736842,0.894736842105263,0.1842105263157894,0.4605263157894737,0.7368421052631579,1.0,11-31,0,0
2021,-1,0,11-3111,Compensation and Benefits Managers,15330.0,139470.0,67.05,2138075100.0,11.84560480335274,9.63756697186586,21.4831717752186,0,False,0,1,0.131578947368421,0.513157894736842,0.894736842105263,0.1842105263157894,0.4605263157894737,0.7368421052631579,1.0,11-31,0,0
2022,0,0,11-3111,Compensation and Benefits Managers,16850.0,143140.0,68.82,2411909000.0,11.871578451292589,9.732105935780508,21.603684387073095,0,False,0,1,0.131578947368421,0.513157894736842,0.894736842105263,0.1842105263157894,0.4605263157894737,0.7368421052631579,1.0,11-31,0,0
2023,1,1,11-3111,Compensation and Benefits Managers,18690.0,150940.0,72.57,2821068600.0,11.92463768583886,9.835743900449607,21.760381586288467,0,False,0,1,0.131578947368421,0.513157894736842,0.894736842105263,0.1842105263157894,0.4605263157894737,0.7368421052631579,1.0,11-31,0,0
2024,2,1,11-3111,Compensation and Benefits Managers,20070.0,156230.0,75.11,3135536100.0,11.959084559405948,9.906981441790384,21.866066001196337,0,False,0,1,0.131578947368421,0.513157894736842,0.894736842105263,0.1842105263157894,0.4605263157894737,0.7368421052631579,1.0,11-31,0,0
2019,-3,0,11-3121,Human Resources Managers,154800.0,129570.0,62.29,20057436000.0,11.771976554622857,11.949889240137765,23.72186579476062,0,False,0,1,0.04,0.48,0.92,0.14,0.45,0.76,1.0,11-31,0,0
2020,-2,0,11-3121,Human Resources Managers,156600.0,134580.0,64.7,21075228000.0,11.80991409674231,11.96145006253884,23.77136415928115,0,False,0,1,0.04,0.48,0.92,0.14,0.45,0.76,1.0,11-31,0,0
2021,-1,0,11-3121,Human Resources Managers,166530.0,136590.0,65.67,22746332700.0,11.824739016996938,12.022930752352316,23.847669769349253,0,False,0,1,0.04,0.48,0.92,0.14,0.45,0.76,1.0,11-31,0,0
2022,0,0,11-3121,Human Resources Managers,181360.0,145750.0,70.07,26433220000.0,11.88964810421274,12.10823928518141,23.99788738939415,0,False,0,1,0.04,0.48,0.92,0.14,0.45,0.76,1.0,11-31,0,0
2023,1,1,11-3121,Human Resources Managers,200600.0,154740.0,74.39,31040844000.0,11.949501568103445,12.209068154509971,24.158569722613414,0,False,0,1,0.04,0.48,0.92,0.14,0.45,0.76,1.0,11-31,0,0
2024,2,1,11-3121,Human Resources Managers,215520.0,160480.0,77.15,34586649600.0,11.985924603195762,12.280808991644191,24.266733594839952,0,False,0,1,0.04,0.48,0.92,0.14,0.45,0.76,1.0,11-31,0,0
2019,-3,0,11-3131,Training and Development Managers,38510.0,123470.0,59.36,4754829700.0,11.723753490561789,10.558673226808954,22.282426717370743,0,False,0,1,0.0909090909090909,0.5,0.9090909090909092,0.0454545454545454,0.4772727272727273,0.9090909090909092,1.0,11-31,0,0
2020,-2,0,11-3131,Training and Development Managers,38710.0,125920.0,60.54,4874363200.0,11.74340206365123,10.563853243571694,22.307255307222924,0,False,0,1,0.0909090909090909,0.5,0.9090909090909092,0.0454545454545454,0.4772727272727273,0.9090909090909092,1.0,11-31,0,0
2021,-1,0,11-3131,Training and Development Managers,35830.0,128800.0,61.92,4614904000.0,11.766016092652391,10.486540810299,22.25255690295139,0,False,0,1,0.0909090909090909,0.5,0.9090909090909092,0.0454545454545454,0.4772727272727273,0.9090909090909092,1.0,11-31,0,0
2022,0,0,11-3131,Training and Development Managers,39550.0,132100.0,63.51,5224555000.0,11.791314490510416,10.5853209731958,22.376635463706215,0,False,0,1,0.0909090909090909,0.5,0.9090909090909092,0.0454545454545454,0.4772727272727273,0.9090909090909092,1.0,11-31,0,0
2023,1,1,11-3131,Training and Development Managers,41540.0,138450.0,66.56,5751213000.0,11.838264528599108,10.634412097430104,22.472676626029212,0,False,0,1,0.0909090909090909,0.5,0.9090909090909092,0.0454545454545454,0.4772727272727273,0.9090909090909092,1.0,11-31,0,0
